,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
6777,adu listrik padam di respon via wa namun telah lebi jam tugas tidak datang dan listrik masih padam harus nunggu berapa lama lagi,Service O2O,Respon lambat terhadap keluhan pemadaman,"['adu', 'listrik', 'padam', 'respon', 'via', 'wa', 'lebi', 'jam', 'tugas', 'listrik', 'padam', 'nunggu']","['adu', 'listrik', 'padam', 'respon', 'via', 'wa', 'lebi', 'jam', 'tugas', 'listrik', 'padam', 'nunggu']"
6778,lebih ribet dari urus langsung di kantor untuk apa ada aplikasi kalau hanya sulit slo sudah mau di terbit tapi belum ada instalasi terus mana uang saya yg juta lebih yang di untuk bayar mitra instalatir terus usaha nya tdik bisa di hubung untuk pt manunggal global nusantara tolong niat baik untuk hubung kami dan untuk pihak aplikas tolong aplikasi di baik lagi di bagi mitra instalatir di tiap daerah tolong lebih di kelompok lagi,Feature Errors,PB/PD,"['ribet', 'urus', 'langsung', 'kantor', 'aplikasi', 'sulit', 'slo', 'terbit', 'instalasi', 'uang', 'juta', 'bayar', 'mitra', 'instalatir', 'usaha', 'nya', 'tdik', 'hubung', 'pt', 'manunggal', 'global', 'nusantara', 'tolong', 'niat', 'hubung', 'aplikas', 'tolong', 'aplikasi', 'mitra', 'instalatir', 'daerah', 'tolong', 'kelompok']","['ribet', 'urus', 'langsung', 'kantor', 'aplikasi', 'sulit', 'slo', 'terbit', 'instalasi', 'uang', 'juta', 'bayar', 'mitra', 'instalatir', 'usaha', 'nya', 'tdik', 'hubung', 'pt', 'manunggal', 'global', 'nusantara', 'tolong', 'niat', 'hubung', 'aplikas', 'tolong', 'aplikasi', 'mitra', 'instalatir', 'daerah', 'tolong', 'kelompok']"
6779,ini gimana ya sudah minggu di bayar lunas kok belum pasang no nidi sudah keluar tapi instalasi belum pasang kok bisa terus mitra yang kerjasama dengan pln pt manunggal global nusantara hubung tapi tidak ada responnya sad yaa mohon bantu dong kak gimana cara refund dana yg sudah di bayar untuk mitra instalatir,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['gimana', 'ya', 'minggu', 'bayar', 'lunas', 'pasang', 'no', 'nidi', 'instalasi', 'pasang', 'mitra', 'kerjasama', 'pln', 'pt', 'manunggal', 'global', 'nusantara', 'hubung', 'responnya', 'sad', 'yaa', 'mohon', 'bantu', 'kak', 'gimana', 'refund', 'dana', 'bayar', 'mitra', 'instalatir']","['gimana', 'ya', 'minggu', 'bayar', 'lunas', 'pasang', 'no', 'nidi', 'instalasi', 'pasang', 'mitra', 'kerjasama', 'pln', 'pt', 'manunggal', 'global', 'nusantara', 'hubung', 'responnya', 'sad', 'yaa', 'mohon', 'bantu', 'kak', 'gimana', 'refund', 'dana', 'bayar', 'mitra', 'instalatir']"
6780,untuk ubah daya sangat susah sekali laku mohon ubah daya sudah foto selfi berkalikali masih tidak bisa tolong solusi admin nanti kalau sudah beres saya tingkat ratingnya,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['ubah', 'daya', 'susah', 'laku', 'mohon', 'ubah', 'daya', 'foto', 'selfi', 'berkalikali', 'tolong', 'solusi', 'admin', 'beres', 'tingkat', 'ratingnya']","['ubah', 'daya', 'susah', 'laku', 'mohon', 'ubah', 'daya', 'foto', 'selfi', 'berkalikali', 'tolong', 'solusi', 'admin', 'beres', 'tingkat', 'ratingnya']"
6781,sangat mudah,Umum,Lain-lain,['mudah'],['mudah']
6782,layan adu lot,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'adu', 'lot']","['layan', 'adu', 'lot']"
6783,lapor saya di hirau tidak baik abaika mohon pln grati layan jarang di respon,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['lapor', 'hirau', 'abaika', 'mohon', 'pln', 'grati', 'layan', 'jarang', 'respon']","['lapor', 'hirau', 'abaika', 'mohon', 'pln', 'grati', 'layan', 'jarang', 'respon']"
6784,gila saja saya sdh pakai aplikasi ini tahun tiba saat saya mau catat meter bulan ini saya malah suruh login ulang dan paksa harus centang tuju daftar ulang akibat email saya anggap sudah pakai dan saya harus pakai email lain baru bisa daftar ulang,Registration,No. Hp sudah terdaftar dengan nama orang lain,"['gila', 'pakai', 'aplikasi', 'catat', 'meter', 'suruh', 'login', 'ulang', 'paksa', 'centang', 'tuju', 'daftar', 'ulang', 'akibat', 'email', 'anggap', 'pakai', 'pakai', 'email', 'daftar', 'ulang']","['gila', 'pakai', 'aplikasi', 'catat', 'meter', 'suruh', 'login', 'ulang', 'paksa', 'centang', 'tuju', 'daftar', 'ulang', 'akibat', 'email', 'anggap', 'pakai', 'pakai', 'email', 'daftar', 'ulang']"
6785,klo ada bintang saya kasih bintang bayar pake aplikasi ini ngerugiin udh bayar tagih pake va bca status masih belum bayar saldo bca saya udh kurang ditanyain ke cs sana sini gk ada solusi klo aplikasi belum siap jgn di publikasi kalian mau cari untung nipu rakyat,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['bintang', 'kasih', 'bintang', 'bayar', 'pake', 'aplikasi', 'ngerugiin', 'bayar', 'tagih', 'pake', 'va', 'bca', 'status', 'bayar', 'saldo', 'bca', 'ditanyain', 'cs', 'gk', 'solusi', 'aplikasi', 'publikasi', 'cari', 'untung', 'nipu', 'rakyat']","['bintang', 'kasih', 'bintang', 'bayar', 'pake', 'aplikasi', 'ngerugiin', 'bayar', 'tagih', 'pake', 'va', 'bca', 'status', 'bayar', 'saldo', 'bca', 'ditanyain', 'cs', 'gk', 'solusi', 'aplikasi', 'publikasi', 'cari', 'untung', 'nipu', 'rakyat']"
6786,tegang listrik  lingkung rumah saya sudah lebih bulan ini turun jauh tiap malam seperti  rumah saya sampai yang sebab ac tidak dingin berisik dan rusak lampu cepat putus pompa air kurang kuat pompa kulkas rusak beberapa kali saya telp memang dtg tapi mereka gak bisa buat apa lapor aplikasi pln mobile gak pernah  follow up padahal saya selalu bayar tepat waktu dan telat bayar paati kena denda mana ini pln mentang monopoli listrik kerja ga becus,Service O2O,Laporan pengaduan tidak di respon,"['tegang', 'listrik', 'lingkung', 'rumah', 'turun', 'malam', 'rumah', 'ac', 'dingin', 'berisik', 'rusak', 'lampu', 'cepat', 'putus', 'pompa', 'air', 'kuat', 'pompa', 'kulkas', 'rusak', 'kali', 'telp', 'dtg', 'gak', 'lapor', 'aplikasi', 'pln', 'mobile', 'gak', 'follow', 'up', 'bayar', 'telat', 'bayar', 'paati', 'kena', 'denda', 'pln', 'mentang', 'monopoli', 'listrik', 'kerja', 'ga', 'becus']","['tegang', 'listrik', 'lingkung', 'rumah', 'turun', 'malam', 'rumah', 'ac', 'dingin', 'berisik', 'rusak', 'lampu', 'cepat', 'putus', 'pompa', 'air', 'kuat', 'pompa', 'kulkas', 'rusak', 'kali', 'telp', 'dtg', 'gak', 'lapor', 'aplikasi', 'pln', 'mobile', 'gak', 'follow', 'up', 'bayar', 'telat', 'bayar', 'paati', 'kena', 'denda', 'pln', 'mentang', 'monopoli', 'listrik', 'kerja', 'ga', 'becus']"
6787,upgrade akun sudah masuk kex jam lewat belum ad respon ini sudah mau masuk xjam gimana ini aplikasiiiiiiiiiiiiiiii,Registration,Masalah verifikasi,"['upgrade', 'akun', 'masuk', 'kex', 'jam', 'ad', 'respon', 'masuk', 'xjam', 'gimana', 'aplikasiiiiiiiiiiiiiiii']","['upgrade', 'akun', 'masuk', 'kex', 'jam', 'ad', 'respon', 'masuk', 'xjam', 'gimana', 'aplikasiiiiiiiiiiiiiiii']"
6788,adu di abaykan tidak ada tindak lanjut adu di batal otomatis dengan alas batal oleh langgan,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['adu', 'abaykan', 'tindak', 'adu', 'batal', 'otomatis', 'alas', 'batal', 'langgan']","['adu', 'abaykan', 'tindak', 'adu', 'batal', 'otomatis', 'alas', 'batal', 'langgan']"
6789,aju iconet sangat ribet harus ada orang wilayah padahal jarak meter sudah ada yang tercover cuma beda rt doank,ICONNET,Registration ICONNET,"['aju', 'iconet', 'ribet', 'orang', 'wilayah', 'jarak', 'meter', 'tercover', 'beda', 'doank']","['aju', 'iconet', 'ribet', 'orang', 'wilayah', 'jarak', 'meter', 'tercover', 'beda', 'doank']"
6790,jika tulis periksa masuk token  telah baik meter kwh nyadan masuk lagi token tetap gagaljadi hangus deh pulsamohon bantu agar tidak di hangus token listrik yang sudah gagalbiar kami tidak rugi,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tulis', 'periksa', 'masuk', 'token', 'meter', 'kwh', 'nyadan', 'masuk', 'token', 'gagaljadi', 'hangus', 'deh', 'pulsamohon', 'bantu', 'hangus', 'token', 'listrik', 'gagalbiar', 'rugi']","['tulis', 'periksa', 'masuk', 'token', 'meter', 'kwh', 'nyadan', 'masuk', 'token', 'gagaljadi', 'hangus', 'deh', 'pulsamohon', 'bantu', 'hangus', 'token', 'listrik', 'gagalbiar', 'rugi']"
6791,useless application the complaint never works welll one of the useless application from indonesia electricity company,Service O2O,Laporan pengaduan tidak di respon,"['useless', 'application', 'the', 'complaint', 'never', 'works', 'welll', 'one', 'of', 'the', 'useless', 'application', 'from', 'indonesia', 'electricity', 'company']","['useless', 'application', 'the', 'complaint', 'never', 'works', 'welll', 'one', 'of', 'the', 'useless', 'application', 'from', 'indonesia', 'electricity', 'company']"
6792,buah aplikasi tempat tipu uang marak tipu kedok aplikasi seperti iniuntuk seluruh lapis masyarakat jangan seperti saya tipu dg modus pln sambung baru,Feature Design,Fitur PB/PD,"['buah', 'aplikasi', 'tipu', 'uang', 'marak', 'tipu', 'kedok', 'aplikasi', 'iniuntuk', 'lapis', 'masyarakat', 'tipu', 'dg', 'modus', 'pln', 'sambung']","['buah', 'aplikasi', 'tipu', 'uang', 'marak', 'tipu', 'kedok', 'aplikasi', 'iniuntuk', 'lapis', 'masyarakat', 'tipu', 'dg', 'modus', 'pln', 'sambung']"
6793,respon cs lambat,Service O2O,Respon lambat/tidak ada respon dari CS,"['respon', 'cs', 'lambat']","['respon', 'cs', 'lambat']"
6794,why swacam is limited to date  have houses on different cities it doesn  make sense to visit all my houses between just to take swacam is this app really aim to ease pln customers,Feature Design,Fitur Swacam,"['why', 'swacam', 'is', 'limited', 'to', 'date', 'have', 'houses', 'on', 'different', 'cities', 'it', 'doesn', 'make', 'sense', 'to', 'visit', 'all', 'my', 'houses', 'between', 'just', 'to', 'take', 'swacam', 'is', 'this', 'app', 'really', 'aim', 'to', 'ease', 'pln', 'customers']","['why', 'swacam', 'is', 'limited', 'to', 'date', 'have', 'houses', 'on', 'different', 'cities', 'it', 'doesn', 'make', 'sense', 'to', 'visit', 'all', 'my', 'houses', 'between', 'just', 'to', 'take', 'swacam', 'is', 'this', 'app', 'really', 'aim', 'to', 'ease', 'pln', 'customers']"
6795,kalo ada komplain slow respon keburu mati listrik nya,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['komplain', 'slow', 'respon', 'keburu', 'mati', 'listrik', 'nya']","['komplain', 'slow', 'respon', 'keburu', 'mati', 'listrik', 'nya']"
6796,tidak ada update histori nominal telah isi token,Feature Design,History pembelian token/pembayaran tagihan,"['update', 'histori', 'nominal', 'isi', 'token']","['update', 'histori', 'nominal', 'isi', 'token']"
6797,layan daerah lamongan jawa timur camat glagah desa jatirenggo sering padam parah banget,Service O2O,Respon lambat terhadap keluhan pemadaman,"['layan', 'daerah', 'lamongan', 'jawa', 'timur', 'camat', 'glagah', 'desa', 'jatirenggo', 'padam', 'parah', 'banget']","['layan', 'daerah', 'lamongan', 'jawa', 'timur', 'camat', 'glagah', 'desa', 'jatirenggo', 'padam', 'parah', 'banget']"
6798,tindak tidak kurang tempat saya mati lampu dari jam siang sampe jam malam lagi belum juga hidup di telfon dan sudah buat adu kata lagi di baik tapi apa nyata nya gak idup juga,Service O2O,Respon lambat terhadap keluhan pemadaman,"['tindak', 'mati', 'lampu', 'jam', 'siang', 'sampe', 'jam', 'malam', 'hidup', 'telfon', 'adu', 'nyata', 'nya', 'gak', 'idup']","['tindak', 'mati', 'lampu', 'jam', 'siang', 'sampe', 'jam', 'malam', 'hidup', 'telfon', 'adu', 'nyata', 'nya', 'gak', 'idup']"
6799,so sorry min ini biar di notice aja saya mau beli token tapi udah hari aplikasi error dan akun mental sudah coba install ulang juga blm ngefek thx min,Feature Errors,Gangguan Server,"['so', 'sorry', 'min', 'notice', 'beli', 'token', 'udah', 'aplikasi', 'error', 'akun', 'mental', 'coba', 'install', 'ulang', 'blm', 'ngefek', 'thx', 'min']","['so', 'sorry', 'min', 'notice', 'beli', 'token', 'udah', 'aplikasi', 'error', 'akun', 'mental', 'coba', 'install', 'ulang', 'blm', 'ngefek', 'thx', 'min']"
6800,kenapa ini aplikasi pln mobile tidak fungsi swacam nya bulan lalu kata tidak bisa guna karena ada maintenance hari ini tanggal januari juga tidak bisa guna swacam nya sangat kecewa apa perlu di uninstall sudah era digital begini masih lambat tangan,Feature Errors,Swacam tidak dapat digunakan,"['aplikasi', 'pln', 'mobile', 'fungsi', 'swacam', 'nya', 'maintenance', 'tanggal', 'januari', 'swacam', 'nya', 'kecewa', 'uninstall', 'era', 'digital', 'lambat', 'tangan']","['aplikasi', 'pln', 'mobile', 'fungsi', 'swacam', 'nya', 'maintenance', 'tanggal', 'januari', 'swacam', 'nya', 'kecewa', 'uninstall', 'era', 'digital', 'lambat', 'tangan']"
6801,tidak dapat sambung ke server hp guna juga tidak bisa gagal deh untuk catat guna daya listrik,Feature Errors,Gangguan Server,"['sambung', 'server', 'hp', 'gagal', 'deh', 'catat', 'daya', 'listrik']","['sambung', 'server', 'hp', 'gagal', 'deh', 'catat', 'daya', 'listrik']"
6802,aplikasi sering eror,Feature Errors,Gangguan Server,"['aplikasi', 'eror']","['aplikasi', 'eror']"
6803,mohon baik lagi kalau untuk layan charge mobil listrik untuk saat ini untuk buka aplikasi lama banget bukan karena signal internetnya tapi sering error untuk bayar dari gopay sudah bayar tapi kembali lalu saldo pln mobile untuk buka satu menu saja butuh loading beberapa menit untuk saat ini masih kecewa,Feature Errors,Gangguan Server,"['mohon', 'layan', 'charge', 'mobil', 'listrik', 'buka', 'aplikasi', 'banget', 'signal', 'internetnya', 'error', 'bayar', 'gopay', 'bayar', 'saldo', 'pln', 'mobile', 'buka', 'menu', 'butuh', 'loading', 'menit', 'kecewa']","['mohon', 'layan', 'charge', 'mobil', 'listrik', 'buka', 'aplikasi', 'banget', 'signal', 'internetnya', 'error', 'bayar', 'gopay', 'bayar', 'saldo', 'pln', 'mobile', 'buka', 'menu', 'butuh', 'loading', 'menit', 'kecewa']"
6804,biasa bisa swacam tp tgl januari ini saya mau laku tp tidak bisa klik swacam tidak ada reaksi apaapa,Feature Errors,Swacam tidak dapat digunakan,"['swacam', 'tp', 'tgl', 'januari', 'laku', 'tp', 'klik', 'swacam', 'reaksi', 'apaapa']","['swacam', 'tp', 'tgl', 'januari', 'laku', 'tp', 'klik', 'swacam', 'reaksi', 'apaapa']"
6805,sejak di update jadi banyak yang eror,Feature Errors,Gangguan Server,"['update', 'eror']","['update', 'eror']"
6806,ini kenapa ya saya gak bisa buat id baru di aplikasi saya selalu stuck pas di bagi cari lokasi kata selalu gagal terus padahal saya sudah hidup gps dan google maps saya sudah update mohon tanggap,Feature Errors,Kesalahan koordinat lokasi,"['ya', 'gak', 'id', 'aplikasi', 'stuck', 'pas', 'cari', 'lokasi', 'gagal', 'hidup', 'gps', 'google', 'maps', 'update', 'mohon', 'tanggap']","['ya', 'gak', 'id', 'aplikasi', 'stuck', 'pas', 'cari', 'lokasi', 'gagal', 'hidup', 'gps', 'google', 'maps', 'update', 'mohon', 'tanggap']"
6807,telah ada baru knp sulit upload catat meter mandiri ya padahal kotak kuning di swafoto sdh pas dg meter dan angka sdh otomatis keluar,Feature Errors,Swacam tidak dapat digunakan,"['knp', 'sulit', 'upload', 'catat', 'meter', 'mandiri', 'ya', 'kotak', 'kuning', 'swafoto', 'pas', 'dg', 'meter', 'angka', 'otomatis']","['knp', 'sulit', 'upload', 'catat', 'meter', 'mandiri', 'ya', 'kotak', 'kuning', 'swafoto', 'pas', 'dg', 'meter', 'angka', 'otomatis']"
6808,aplikasi sering erorsetiap di guna untuk cas kendara listrik eror terus,Feature Errors,Gangguan Server,"['aplikasi', 'erorsetiap', 'cas', 'kendara', 'listrik', 'eror']","['aplikasi', 'erorsetiap', 'cas', 'kendara', 'listrik', 'eror']"
6809,fitur swacam catat meter sering eror tiap kali mau uplod catat meter ada notif curl error sudah jadi ulang kali nyata gak ada update baik selain itu loading nya aplikasi ini juga masuk lambat tidak cepat aplikasi lain,Feature Errors,Gangguan Server,"['fitur', 'swacam', 'catat', 'meter', 'eror', 'kali', 'uplod', 'catat', 'meter', 'notif', 'curl', 'error', 'ulang', 'kali', 'nyata', 'gak', 'update', 'loading', 'nya', 'aplikasi', 'masuk', 'lambat', 'cepat', 'aplikasi']","['fitur', 'swacam', 'catat', 'meter', 'eror', 'kali', 'uplod', 'catat', 'meter', 'notif', 'curl', 'error', 'ulang', 'kali', 'nyata', 'gak', 'update', 'loading', 'nya', 'aplikasi', 'masuk', 'lambat', 'cepat', 'aplikasi']"
6810,susah daftar akun,Registration,Sulit mendaftar/tidak bisa mendaftar,"['susah', 'daftar', 'akun']","['susah', 'daftar', 'akun']"
6811,tidak bisa login,Registration,Sulit login/tidak bisa login,['login'],['login']
6812,aplikasi gak bisa login,Registration,Sulit login/tidak bisa login,"['aplikasi', 'gak', 'login']","['aplikasi', 'gak', 'login']"
6813,pln payah nomer verifikasi tidak masuk masuk di gmail gimanah nie mau tambah daya lagi,Registration,Masalah verifikasi,"['pln', 'payah', 'nomer', 'verifikasi', 'masuk', 'masuk', 'gmail', 'gimanah', 'nie', 'daya']","['pln', 'payah', 'nomer', 'verifikasi', 'masuk', 'masuk', 'gmail', 'gimanah', 'nie', 'daya']"
6814,sulit masuk angka catat mandiri dan error tsk bisa laku catat mandiri,Feature Errors,Swacam tidak dapat digunakan,"['sulit', 'masuk', 'angka', 'catat', 'mandiri', 'error', 'tsk', 'laku', 'catat', 'mandiri']","['sulit', 'masuk', 'angka', 'catat', 'mandiri', 'error', 'tsk', 'laku', 'catat', 'mandiri']"
6815,iconnet masalah mulu gabisa masuk,ICONNET,Feature Error ICONNET,"['iconnet', 'mulu', 'gabisa', 'masuk']","['iconnet', 'mulu', 'gabisa', 'masuk']"
6816,maaf sebelumnyaniat hati instal app ini buat ukur meter mandiri krn bapak cek meter dah ga pernah ngecek langsung ke rumahternyata malah appnya berat dan sulit digunakanukur meter tidak bisa diupberulang kalikecewatolong baik lagi,Feature Errors,Gangguan Server,"['maaf', 'sebelumnyaniat', 'hati', 'instal', 'app', 'ukur', 'meter', 'mandiri', 'krn', 'cek', 'meter', 'dah', 'ga', 'ngecek', 'langsung', 'rumahternyata', 'appnya', 'berat', 'sulit', 'digunakanukur', 'meter', 'diupberulang', 'kalikecewatolong']","['maaf', 'sebelumnyaniat', 'hati', 'instal', 'app', 'ukur', 'meter', 'mandiri', 'krn', 'cek', 'meter', 'dah', 'ga', 'ngecek', 'langsung', 'rumahternyata', 'appnya', 'berat', 'sulit', 'digunakanukur', 'meter', 'diupberulang', 'kalikecewatolong']"
6817,swacam tidak bisa di klik aneh bgt,Feature Errors,Swacam tidak dapat digunakan,"['swacam', 'klik', 'aneh', 'bgt']","['swacam', 'klik', 'aneh', 'bgt']"
6818,tidak sesuai dengan dilapanganlayanan lambat,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['sesuai', 'dilapanganlayanan', 'lambat']","['sesuai', 'dilapanganlayanan', 'lambat']"
6819,selalu err or jaring,Feature Errors,Gangguan Server,"['err', 'or', 'jaring']","['err', 'or', 'jaring']"
6820,aplikasi kok sering error,Feature Errors,Gangguan Server,"['aplikasi', 'error']","['aplikasi', 'error']"
6821,lampu flash terlalu terang malah bikin gambar nggak nampak,Feature Design,Fitur Swacam,"['lampu', 'flash', 'terang', 'gambar', 'nggak', 'nampak']","['lampu', 'flash', 'terang', 'gambar', 'nggak', 'nampak']"
6822,sering ganggu,Feature Errors,Gangguan Server,['ganggu'],['ganggu']
6823,mantap,Umum,Lain-lain,['mantap'],['mantap']
6824,sulit kalo bagi adu sangat sulit,Feature Design,Fitur Pengaduan,"['sulit', 'adu', 'sulit']","['sulit', 'adu', 'sulit']"
6825,pelayana gak bagusss respon lama,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['pelayana', 'gak', 'bagusss', 'respon']","['pelayana', 'gak', 'bagusss', 'respon']"
6826,apk busuk uang sedot token gak masuk,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['apk', 'busuk', 'uang', 'sedot', 'token', 'gak', 'masuk']","['apk', 'busuk', 'uang', 'sedot', 'token', 'gak', 'masuk']"
6827,saya bingung sudah bayar tagih internet di pln dari tgl tapi di email di bilang bayar belum masuk di sistem karena masih dlm estimasi kliring kurang lebih hari kerja masa zaman semua online tapi masih seperti zaman manual apk lain banyak yg di bayar cara online tapi langsung terima bayar saat itu juga tanpa harus tunggu beberapa hari krn kalau seperti ini langgan rugi krn harus beli pulsa lama hari padahal keluarga ada orang,ICONNET,Feature Payment ICONNET,"['bingung', 'bayar', 'tagih', 'internet', 'pln', 'tgl', 'email', 'bayar', 'masuk', 'sistem', 'dlm', 'estimasi', 'kliring', 'kerja', 'zaman', 'online', 'zaman', 'manual', 'apk', 'bayar', 'online', 'langsung', 'terima', 'bayar', 'tunggu', 'krn', 'langgan', 'rugi', 'krn', 'beli', 'pulsa', 'keluarga', 'orang']","['bingung', 'bayar', 'tagih', 'internet', 'pln', 'tgl', 'email', 'bayar', 'masuk', 'sistem', 'dlm', 'estimasi', 'kliring', 'kerja', 'zaman', 'online', 'zaman', 'manual', 'apk', 'bayar', 'online', 'langsung', 'terima', 'bayar', 'tunggu', 'krn', 'langgan', 'rugi', 'krn', 'beli', 'pulsa', 'keluarga', 'orang']"
6828,mau masukin nomor langgan susah banget di bagi titik lokasi sampah banget nih aplikasi,Feature Errors,Kesalahan koordinat lokasi,"['masukin', 'nomor', 'langgan', 'susah', 'banget', 'titik', 'lokasi', 'sampah', 'banget', 'nih', 'aplikasi']","['masukin', 'nomor', 'langgan', 'susah', 'banget', 'titik', 'lokasi', 'sampah', 'banget', 'nih', 'aplikasi']"
6829,aplikasi tooooloooooldafar ga bisa malah erorr coding loool,Feature Errors,Gangguan Server,"['aplikasi', 'tooooloooooldafar', 'ga', 'erorr', 'coding', 'loool']","['aplikasi', 'tooooloooooldafar', 'ga', 'erorr', 'coding', 'loool']"
6830,error tdk bisa kirim swacam,Feature Errors,Swacam tidak dapat digunakan,"['error', 'tdk', 'kirim', 'swacam']","['error', 'tdk', 'kirim', 'swacam']"
6831,login gk bisagk fungsi sama sekaligk niat bikin aplikasi,Registration,Sulit login/tidak bisa login,"['login', 'gk', 'bisagk', 'fungsi', 'sekaligk', 'niat', 'aplikasi']","['login', 'gk', 'bisagk', 'fungsi', 'sekaligk', 'niat', 'aplikasi']"
6832,ini kenapa susah banget buat daftar,Registration,Sulit mendaftar/tidak bisa mendaftar,"['susah', 'banget', 'daftar']","['susah', 'banget', 'daftar']"
6833,kenapa saya tidak bisa login ya,Registration,Sulit login/tidak bisa login,"['login', 'ya']","['login', 'ya']"
6834,tidak bisa login,Registration,Sulit login/tidak bisa login,['login'],['login']
6835,makin sulit untuk masuk keaplikasinot respon tolong baik,Registration,Sulit login/tidak bisa login,"['sulit', 'masuk', 'keaplikasinot', 'respon', 'tolong']","['sulit', 'masuk', 'keaplikasinot', 'respon', 'tolong']"
6836,login susah daftar juga susah kode verikasi tidak di kirim kirim aplikasi perintah kagak ada yang bener,Registration,Sulit login/tidak bisa login,"['login', 'susah', 'daftar', 'susah', 'kode', 'verikasi', 'kirim', 'kirim', 'aplikasi', 'perintah', 'kagak', 'bener']","['login', 'susah', 'daftar', 'susah', 'kode', 'verikasi', 'kirim', 'kirim', 'aplikasi', 'perintah', 'kagak', 'bener']"
6837,error nih ga bisa di pakai pantesan ga minta update biasa selalu minta update tiap bulan itu yg kasih bintang lima siapa ya sprtnya telah di cabut ppkm akan kembali ke sistem catat meter manual sdh ada gejala,Feature Errors,Gangguan Server,"['error', 'nih', 'ga', 'pakai', 'pantesan', 'ga', 'update', 'update', 'kasih', 'bintang', 'ya', 'sprtnya', 'cabut', 'ppkm', 'sistem', 'catat', 'meter', 'manual', 'gejala']","['error', 'nih', 'ga', 'pakai', 'pantesan', 'ga', 'update', 'update', 'kasih', 'bintang', 'ya', 'sprtnya', 'cabut', 'ppkm', 'sistem', 'catat', 'meter', 'manual', 'gejala']"
6838, just downloaded but cannot use the apps because error login,Feature Errors,Gangguan Server,"['just', 'downloaded', 'but', 'can', 'not', 'use', 'the', 'apps', 'because', 'error', 'login']","['just', 'downloaded', 'but', 'can', 'not', 'use', 'the', 'apps', 'because', 'error', 'login']"
6839,catat meter mandiri swa cam bulan januari ini sulit laku masuk angka stand meter di kolom kuning aplikasi pln mobile selalu gagal angka tidak baca jauh lebih mudah yg kemarin tinggal foto angka meter,Feature Errors,Swacam tidak dapat digunakan,"['catat', 'meter', 'mandiri', 'swa', 'cam', 'januari', 'sulit', 'laku', 'masuk', 'angka', 'stand', 'meter', 'kolom', 'kuning', 'aplikasi', 'pln', 'mobile', 'gagal', 'angka', 'baca', 'mudah', 'kemarin', 'tinggal', 'foto', 'angka', 'meter']","['catat', 'meter', 'mandiri', 'swa', 'cam', 'januari', 'sulit', 'laku', 'masuk', 'angka', 'stand', 'meter', 'kolom', 'kuning', 'aplikasi', 'pln', 'mobile', 'gagal', 'angka', 'baca', 'mudah', 'kemarin', 'tinggal', 'foto', 'angka', 'meter']"
6840,aplikasi jelek mibta kode verifikasi cek email tdk ada yg masuk,Registration,Masalah verifikasi,"['aplikasi', 'jelek', 'mibta', 'kode', 'verifikasi', 'cek', 'email', 'tdk', 'masuk']","['aplikasi', 'jelek', 'mibta', 'kode', 'verifikasi', 'cek', 'email', 'tdk', 'masuk']"
6841,payah token gak masuk meski benar,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['payah', 'token', 'gak', 'masuk']","['payah', 'token', 'gak', 'masuk']"
6842,jelek,Umum,Lain-lain,['jelek'],['jelek']
6843,tidak puas dengan aplikasi ini ribet daftar,Feature Design,Saran masukan user interface (UI),"['puas', 'aplikasi', 'ribet', 'daftar']","['puas', 'aplikasi', 'ribet', 'daftar']"
6844,susah daftar,Registration,Sulit mendaftar/tidak bisa mendaftar,"['susah', 'daftar']","['susah', 'daftar']"
6845,aplikasi error org lagi butuh mau adu suruh lewat by app stlh di download malah error terus tdk bisa regist sgt tdk bantu bukan mudah malah susah,Feature Errors,Gangguan Server,"['aplikasi', 'error', 'org', 'butuh', 'adu', 'suruh', 'by', 'app', 'stlh', 'download', 'error', 'tdk', 'regist', 'sgt', 'tdk', 'bantu', 'mudah', 'susah']","['aplikasi', 'error', 'org', 'butuh', 'adu', 'suruh', 'by', 'app', 'stlh', 'download', 'error', 'tdk', 'regist', 'sgt', 'tdk', 'bantu', 'mudah', 'susah']"
6846,adu listrik tidak bisa di on kan respony sangat lambat adun pagi sore belum di tanganin adu lewat app bukan lewat telep,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['adu', 'listrik', 'on', 'respony', 'lambat', 'adun', 'pagi', 'sore', 'tanganin', 'adu', 'app', 'telep']","['adu', 'listrik', 'on', 'respony', 'lambat', 'adun', 'pagi', 'sore', 'tanganin', 'adu', 'app', 'telep']"
